STUDENT NO.,T1,T2,T3,Q1,Q2,Q3,Best Quiz,SM
202135479,20,"30,5",,2,8,10,10,"55,45"
202135584,32,"35,5",,6,8,,8,"68,75"
202135692,26,32,,8,4,8,8,"60,2"
202136273,26,23,,10,6,,10,"54,1"
202136275,27,"36,5",,0,8,,8,"65,15"
202137796,,,,8,,,8,8
202138707,30,"32,5",,10,6,,10,"66,25"
202139039,11,9,,0,10,8,10,28
202139106,11,35,19,10,8,,10,49
202139440,10,10,,4,,,4,22
202139476,30,32,,10,8,,10,"65,8"
202140131,,11,20,10,8,,10,40
202140405,41,41,,8,8,6,8,"81,8"
202140587,,6,,0,6,,6,"16,8"
202141238,34,"42,5",,10,6,,10,"78,85"
202144004,21,31,,8,4,8,8,"54,8"
202144863,32,"44,5",,6,0,,6,"74,85"
202144996,18,30,,6,6,6,6,"49,2"
202152803,18,41,,10,6,8,10,"63,1"
202153298,31,24,,6,4,6,6,"55,5"
202153977,21,30,,10,8,10,10,"55,9"
202154066,23,29,,6,6,,6,"52,8"
202154114,20,34,,10,8,,10,"58,6"
202161075,16,32,,6,6,,6,"49,2"
202162268,23,"25,5",,8,8,,8,"51,65"
202162423,17,,,10,,,10,41
202163202,20,21,,0,8,10,10,"46,9"
202168817,21,21,,6,6,10,10,"47,8"
202169511,14,14,,10,,10,10,40
202170034,35,37,,8,8,10,10,"74,8"
202171965,17,"23,5",12,10,6,,10,"41,5"
202173535,44,"45,5",,10,6,,10,"90,55"
202174700,22,38,,8,6,,8,62
202174901,12,18,,0,,,0,27
202176295,17,34,,6,6,,6,"51,9"
202176691,23,19,25,6,4,,6,"46,2"
202176702,31,"28,5",,8,8,10,10,"63,55"
202176758,29,43,,10,10,,10,"74,8"
202176766,18,19,10,0,6,10,10,40
202176793,24,26,,8,6,,8,53
202176880,28,45,,0,,,0,"65,7"
202201580,24,39,,10,6,10,10,"66,7"
202201747,20,"31,5",,8,6,,8,"54,35"
202201799,26,"38,5",,4,6,6,6,"64,05"
202201844,23,30,,10,8,6,10,"57,7"
202202095,29,36,,8,4,,8,"66,5"
202202233,32,38,,8,6,,8,71
202202910,10,15,17,8,6,6,8,"33,2"
202204302,25,"24,5",,2,6,8,8,"52,55"
202204642,25,34,,10,8,,10,"63,1"
202205026,20,39,,8,10,,10,"63,1"
202205076,9,,,8,,,8,"24,2"
202205510,13,17,18,10,6,10,10,40
202205698,23,2,,10,6,,10,"32,5"
202206072,12,"13,5",21,0,,,0,"27,9"
202206098,15,23,,4,6,,6,41
202207037,35,47,,6,4,10,10,"83,8"
202207273,34,24,28,8,6,6,8,"59,6"
202207314,29,33,34,8,6,8,8,"65,6"
202207504,13,36,,10,4,10,10,"54,1"
202207832,34,46,,8,6,,8,80
202208379,31,46,,8,8,,8,"77,3"
202208545,36,41,,10,10,,10,"79,3"
202208615,41,45,,8,8,,8,"85,4"
202209016,27,28,,10,8,6,10,"59,5"
202209114,22,7,,8,6,,8,"34,1"
202209377,28,"30,5",,10,8,,10,"62,65"
202209416,22,"25,5",,6,8,10,10,"52,75"
202209503,30,33,,8,10,,10,"66,7"
202210200,27,28,,8,8,,8,"57,5"
202210874,23,20,24,8,6,6,8,"48,2"
202211539,23,30,,10,4,,10,"57,7"
202211826,33,33,,10,8,,10,"69,4"
202212705,19,"33,5",,6,4,,6,"53,25"
202213044,39,30,,8,8,,8,"70,1"
202213839,20,16,32,8,6,6,8,"48,8"
202213926,27,17,,8,8,,8,"47,6"
202214107,27,34,,10,10,,10,"64,9"
202214399,14,5,20,10,6,,10,"33,4"
202214785,32,30,,10,6,,10,"65,8"
202215052,35,"34,5",,10,6,,10,"72,55"
